order_id,date,region,product,units,unit_price
1001,2026-01-05,North,Widget,12,9.99
1002,2026-01-06,South,Gadget,3,24.50
1003,2026-01-06,East,Widget,7,9.99
1004,2026-01-08,West,Doohickey,1,132.00
1005,2026-01-09,North,Gadget,,24.50
1006,2026-01-11,South,Widget,20,9.99
1007,2026-01-12, East ,Doohickey,2,132.00
1008,2026-01-14,West,Gadget,5,24.50
1008,2026-01-14,West,Gadget,5,24.50
1009,2026-01-15,North,Widget,15,
1010,2026-01-18,South,Doohickey,4,132.00
1011,2026-01-19,east,Widget,9,9.99
1012,2026-01-21,West,Gadget,11,24.50
1013,2026-01-22,North,Doohickey,2,132.00
1014,2026-01-25,South,Widget,-6,9.99
